Source,Teff[K],Luminosity[Lsun],Ref,e_Teff[K],e_Luminosity[Lsun],logmass[Msun],lw_logmass[Msun],up_logmass[Msun],logage[yrs],lw_logage[yrs],up_logage[yrs],mass[Msun],lw_mass[Msun],up_mass[Msun],age[Myrs],lw_age[Myrs],up_age[Myrs],flag
J11044258-7741571,3270.0,0.09,M16a,75.29453254090528,0.02072326583694641,-0.6299999999999988,-0.6999999999999988,-0.5599999999999987,6.518970004336001,6.328970004336005,6.698970004335997,0.23442288153199287,0.1995262314968885,0.27542287033381746,3.303467240037847,2.1328975940078974,4.999999999999754,good
J11045701-7715569,3415.0,0.28,M16b,78.63328092574669,0.06447238260383328,-0.5299999999999987,-0.5899999999999987,-0.45999999999999863,6.058970004336011,5.8989700043360145,6.218970004336008,0.2951209226666395,0.2570395782768871,0.3467368504525327,1.1454338263838661,0.7924465962305488,1.655655607412913,good
J11062554-7633418,3060.0,0.028,M16b,70.45910384561783,0.006447238260383329,-0.929999999999999,-1.0199999999999991,-0.829999999999999,6.668970004335998,6.488970004336002,6.828970004335995,0.11748975549395321,0.09549925860214378,0.1479108388168211,4.666271503984732,3.0829750093072907,6.744814412957893,good
J11062942-7724586,2990.0,0.035,L07,68.84729428052196,0.008059047825479162,-1.1299999999999992,-1.3099999999999994,-1.0199999999999991,6.528970004336001,6.358970004336005,6.7889700043359955,0.07413102413009189,0.048977881936844686,0.09549925860214378,3.380414876959771,2.2854409480743008,6.151343854061578,good
J11063276-7625210,2935.0,0.016,M16b,67.58087247937524,0.0036841361487904736,-1.1299999999999992,-1.2499999999999993,-0.9399999999999991,6.728970004335997,6.5089700043360015,6.908970004335993,0.07413102413009189,0.056234132519034995,0.11481536214968853,5.357596526187761,3.2282711451731485,8.109050486794168,good
J11063945-7736052,3125.0,0.002,M16b,71.95578415606396,0.00046051701859880926,-0.7799999999999989,-0.849999999999999,-0.7199999999999989,6.48,,,0.16595869074375647,0.14125375446227575,0.1905460717963252,3.019951720402019,,,toofaint
J11064180-7635489,3125.0,0.05,M16a,71.95578415606396,0.01151292546497023,-0.7999999999999989,-0.879999999999999,-0.7099999999999989,6.578970004336,6.418970004336003,6.748970004335996,0.15848931924611173,0.131825673855641,0.19498445997580505,3.7928878751457544,2.62403730124877,5.610092271509528,good
J11064510-7727023,4205.0,0.53,M16b,193.6474063207992,0.12203700992868445,-0.025757490560674327,-0.09575749056067437,0.0642425094393257,6.608970004335999,6.358970004336005,6.878970004335994,0.9424156932458113,0.8021258443203724,1.1594245965238228,4.0641525808203145,2.2854409480743008,7.567806242180602,good
J11065906-7718535,3200.0,0.32,M16a,73.68272297580945,0.07368272297580947,-0.7199999999999989,-0.7799999999999989,-0.6599999999999988,5.698970004336019,,,0.1905460717963252,0.16595869074375647,0.21877616239495584,0.49999999999999994,,,toobright
J11065939-7530559,3060.0,0.01,M16b,70.45910384561783,0.002302585092994046,-0.9899999999999991,-1.0799999999999992,-0.899999999999999,7.178970004335987,6.9789700043359915,7.378970004335983,0.10232929922807563,0.08317637711026726,0.125892541179417,15.099758602008981,9.527303589815634,23.931504616129942,good
J11070925-7718471,3415.0,0.25,L07,78.63328092574669,0.05756462732485115,-0.5299999999999987,-0.5899999999999987,-0.45999999999999863,6.11897000433601,5.948970004336013,6.288970004336006,0.2951209226666395,0.2570395782768871,0.3467368504525327,1.3151339959476638,0.8891397050194504,1.9452257249713463,good
J11071181-7625501,3060.0,0.01,M16b,70.45910384561783,0.002302585092994046,-0.9899999999999991,-1.0799999999999992,-0.899999999999999,7.178970004335987,6.9789700043359915,7.378970004335983,0.10232929922807563,0.08317637711026726,0.125892541179417,15.099758602008981,9.527303589815634,23.931504616129942,good
J11071206-7632232,3850.0,0.4,M16a,177.29905216054152,0.09210340371976185,-0.2299999999999984,-0.3399999999999985,-0.10999999999999832,6.388970004336004,6.10897000433601,6.668970004335998,0.5888436553555911,0.45708818961487657,0.7762471166286947,2.4488940968421478,1.2851978913844058,4.666271503984732,good
J11071330-7743498,3270.0,0.07,M14,75.29453254090528,0.016118095650958324,-0.6299999999999988,-0.7099999999999989,-0.5499999999999987,6.678970004335998,6.488970004336002,6.868970004335994,0.23442288153199287,0.19498445997580505,0.2818382931264462,4.774962930106949,3.0829750093072907,7.395541940840611,good
J11071860-7732516,3060.0,0.025,M16a,70.45910384561783,0.005756462732485116,-0.9399999999999991,-1.0299999999999991,-0.839999999999999,6.718970004335997,6.528970004336001,6.878970004335994,0.11481536214968853,0.09332543007969929,0.1445439770745931,5.235642740254234,3.380414876959771,7.567806242180602,good
J11072074-7738073,5110.0,5.1,M16b,235.32419650399152,1.1743183974269635,0.29424250943932595,0.2342425094393259,0.40424250943932605,6.068970004336011,5.8489700043360155,6.288970004336006,1.968985461554602,1.7149146461669265,2.5365446381380155,1.1721144076599397,0.7062687723113719,1.9452257249713463,good
J11072825-7652118,3415.0,0.34,M16b,78.63328092574669,0.07828789316179757,-0.5399999999999987,-0.5999999999999988,-0.47999999999999865,5.968970004336013,5.828970004336016,6.11897000433601,0.28840315031266145,0.25118864315095873,0.3311311214825921,0.9310435683314212,0.6744814412958224,1.3151339959476638,good
J11074245-7733593,3060.0,0.04,M16b,70.45910384561783,0.009210340371976185,-0.889999999999999,-0.9799999999999991,-0.7799999999999989,6.538970004336001,6.378970004336004,6.688970004335998,0.1288249551693137,0.10471285480509017,0.16595869074375647,3.4591548545945394,2.3931504616131116,4.886186104778815,good
